id  , designation                 , appmag   , absmag                , b-v; interpret as bprp, ra                   , dec                  , ly                , parallax           , parsec                , from earth X         , from earth Y        , from earth Z          , galactic l            , galactic b
  11, Del Vel                     , 1.96     , 0.007438449266426339  , +0.04                 , 131.17583333333332   , -54.708333333333336  , 80.15630376013763 , 40.69              ,    24.576062914721064 , -9.34792700422983    , 10.687142951342544  , -20.05951406812957    , 271.95102681474447    , -7.389871682795535
  12, Eps Car                     , 1.86     , -4.482056174066305    , +1.28                 , 125.62833333333333   , -59.50972222222222   , 605.113172541744  , 5.39               ,   185.5287569573284   , -54.83647586900735   , 76.51481119980104   , -159.87296281566188   , 274.1846550817867     , -12.609465050068238
  13, Del CMa                     , 1.84     , -6.622519810433936    , +0.68                 , 107.09791666666666   , -26.393333333333334  , 1606.6798029556653, 2.03               ,   492.61083743842374  , -129.73372250591044  , 421.7606222045862   , -218.9807661968166    , 238.28815290277657    , -8.436977947244415
  14, Eps CMa                     , 1.5      , -5.947274948966939    , -0.21                 , 104.65625000000001   , -28.97222222222222   , 1006.6543209876543, 3.24               ,   308.641975308642    , -68.31947386401384   , 261.23085107879797  , -149.50170854545973   , 239.7145441327848     , -11.494672731466261
  15, Bet CMa                     , 1.98     , -3.9157100528015003   , -0.23                 ,  95.67499999999998   , -17.95583333333333   , 492.6827794561933 , 6.62               ,   151.05740181268882  , -14.209862330266084  , 142.99576546660523  , -46.568546397484184   , 225.9446778713787     , -14.481154861289797
  16, Alp Ori                     , 0.5      , -5.418793500041085    , +1.85                 ,  88.79291666666666   , 7.406944444444445    , 497.94809160305346, 6.55               ,   152.67175572519085  , 3.189348951702555    , 151.36419590125433  , 19.681799934033407    , 199.63913801889342    , -9.229181620717721
  17, Eps Ori                     , 1.7      , -7.212580278930468    , -0.19                 ,  84.05333333333333   , -1.2019444444444445  , 1976.7030303030303, 1.65               ,   606.0606060606061   , 62.77568462342683    , 602.6666183057066   , -12.712939021837947   , 205.08125529710043    , -17.50422510566687
  18, Zet Ori                     , 2.05     , -4.717981368884653    , -0.21                 ,  85.18958333333333   , -1.9427777777777777  , 736.2437923250563 , 4.43               ,   225.73363431151242  , 18.918917811041457   , 224.80921844906172  , -7.652679835504061    , 206.3219735626145     , -16.84582906231991
  19, Bet Eri                     , 2.79     , -4.322541000813874    , +0.13                 ,  76.9625             , -5.086388888888888   , 862.8465608465608 , 3.78               ,   264.55026455026456  , 59.44454930249934    , 256.7159492605826   , -23.45441167617887    , 205.22192057930033    , -25.577082555565813
  20, Alp Per                     , 1.79     , -4.165570663200938    , +0.48                 ,  51.08083333333333   , 49.861111111111114   , 506.45341614906823, 6.44               ,   155.27950310559004  , 62.885028108730666   , 77.88094562038015   , 118.70870075002293    , 146.39582416951097    , -6.075859445006198
